Cycles,DischargeAh_1,DischargeAh_2,DischargeAh_3,DischargeAh_4,DischargeAh_5,DischargeAh_7,DischargeAh_8,DischargeAh_9,DischargeAh_10,DischargeAh_11,DischargeAh_12,DischargeAh_13,DischargeAh_14,DischargeAh_15,DischargeAh_16,DischargeAh_17,DischargeAh_18,DischargeAh_19,DischargeAh_20,DischargeAh_21,DischargeAh_22,DischargeAh_23,DischargeAh_25,DischargeAh_26,DischargeAh_28,DischargeAh_29,DischargeAh_30,DischargeAh_32
11,0.998983269565674,0.995444727272727,0.987064844152229,0.998374732919506,0.997123341518324,0.998581653953318,0.988601062365878,0.999986128123874,0.992266080689831,0.992237475856297,0.989706687379554,0.994777391073869,0.98586204728574,1,0.99941631195027,0.975870235807041,0.95028188059233,0.936618582544491,0.968501324521663,0.976120658399321,0.996664565524875,0.970748559709349,0.971999019699806,0.967677981608196,0.996697608746384,0.988671695506478,0.936370520848023,0.987842354906831
12,0.99841468879874,0.995564727272727,0.985470528597449,0.998403303480111,0.997682701907587,0.997351259621187,0.98575825330213,1,1,1,1,1,0.998865398912261,0.987472689225737,0.999759486948535,0.981445220571,0.95512716158563,0.939883555318588,0.972354682710218,0.979801713909623,0.997872593936412,0.974730224255146,1,1,0.999587327010606,0.892803252727219,1,0.987525981174405
13,0.998380019239781,0.994797090909091,0.985305761024285,0.998625358216966,0.996803915376868,0.997759455912442,0.985940290936433,0.996395570419611,0.992394038634961,0.99033394009661,0.987190927551099,0.993815041619184,1,0.988967392401397,0.999496698191632,0.97821799259294,0.949794602617295,0.936472400725239,0.969227059037642,0.976630648098502,0.999448834635016,0.972714739460482,0.972892783960069,0.967740843588433,0.997065623064021,0.985634489993659,0.974351107322626,0.88529754915589
14,0.999602212428781,0.994803636363636,0.986827968231947,0.999639793944777,0.996527881599377,0.998439420223387,0.986455824394842,0.996071355640386,0.99173276223682,0.990807997074318,0.987244264086754,0.993936550388715,0.999067948378081,0.988252882630396,0.999816951811838,0.979476630256434,0.953327642923873,0.936498544073266,0.970392053918554,0.977766619284645,0.997584711887338,0.973742617887042,0.973063874088235,0.971184390628858,1,0.987969704698584,0.975192947958132,0.991960305280284
15,0.999370838740568,0.995341090909091,0.985692622306573,1,0.996671185792976,0.996151706786617,0.984884040947675,0.995084516824811,0.991873868742728,0.990578594166875,0.98688240603348,0.993346827827258,0.997751538889822,0.988613341595587,0.999709124484067,0.981763630397075,0.953988713043504,0.93937063019461,0.972703694355673,0.979863451474087,0.998891903941947,0.976046781829699,0.972839607298612,0.970543843168708,0.997559554689245,0.989502061991867,0.97831459475562,0.991513240681996
16,0.999026332807329,0.994251636363636,0.984333379963398,0.998604382362344,0.996612478477023,0.99669778271403,0.984740497437622,0.994603840186954,0.991463377089178,0.989968865386565,0.986678641304452,0.992457707657677,0.997032731345518,0.987720684993789,0.999162885446378,0.982005156814027,0.954163238488287,0.939263847505483,0.973993015273379,0.980707946522547,0.997859525859418,0.975625618900618,0.973590025775818,0.970843968828195,0.996345376064631,0.990776988693771,0.977680489608437,1
17,0.998425637080517,1,0.98932544083438,0.998449956674011,0.99837734437274,0.998361409376613,0.991488481442774,0.994411892133582,0.990605192975975,0.98996219300283,0.986875060283061,0.992267829953823,0.99710176020347,0.987761376805859,0.998872332766756,0.981758754863813,0.953806121296651,0.939240281670641,0.973253425144866,0.980075978362667,0.999936197035853,0.976055062066017,0.973080388579371,0.969755005909026,0.997723750858336,0.991449772336943,0.977676856714364,0.998509445215577
18,0.999435068660325,0.992770545454546,0.984922865701088,0.998177632216598,0.994146406565301,0.99406319313998,0.98475848534615,0.994228654328009,0.989930447320451,0.988532078755734,0.985434335059478,0.990968496178306,0.996410175307373,0.986833795735434,0.999912188523492,0.979655899864048,0.954968035444798,0.940744076506483,0.971086706925335,0.977733692583597,0.998951094643626,0.973537870225362,0.972719051513322,0.96917312963043,0.996299374274926,0.990312391003786,0.977359143614578,0.996006290813315
19,1,0.999090909090909,1,0.997932070056461,1,1,1,0.994105743053497,0.989415408573888,0.988818038058641,0.985127410444124,0.991492441992524,0.996084475766334,0.986072185992981,0.999773368909895,0.979419248980357,0.954233268656257,0.9349914352919,0.971918418153399,0.97857220095914,0.999020662935859,0.974726084136987,0.973276580734063,0.968208601195216,0.996532405238831,0.99196735046526,0.977034494989744,0.999008786160211
20,0.999833951059721,0.992950545454546,0.984055041743522,0.997694102602308,0.995900697851312,0.996232257521425,0.98461638086878,0.994659650293229,0.989608788626302,0.988493315383562,0.984873502983972,0.992118131149761,0.995535485694174,0.985802722891003,0.999829542427955,1,1,1,1,1,0.998456429493881,1,0.971272051800013,0.968673779848964,0.997551160202072,0.99224923356664,0.976375620110248,0.999798702120892
