Cycles,DischargeAh_49,DischargeAh_50,DischargeAh_51,DischargeAh_52,DischargeAh_53,DischargeAh_54,DischargeAh_55,DischargeAh_56,DischargeAh_57,DischargeAh_58,DischargeAh_59,DischargeAh_60,DischargeAh_61,DischargeAh_62,DischargeAh_63,DischargeAh_64,DischargeAh_65,DischargeAh_66,DischargeAh_67,DischargeAh_68,DischargeAh_69,DischargeAh_70,DischargeAh_71,DischargeAh_72,DischargeAh_73,DischargeAh_74,DischargeAh_75,DischargeAh_76,DischargeAh_77,DischargeAh_78,DischargeAh_79,DischargeAh_80,DischargeAh_81,DischargeAh_82,DischargeAh_83,DischargeAh_84,DischargeAh_85,DischargeAh_86,DischargeAh_87,DischargeAh_88,DischargeAh_89,DischargeAh_90,DischargeAh_91,DischargeAh_92,DischargeAh_93,DischargeAh_94,DischargeAh_95,DischargeAh_96
75,0.982457536060219,0.982914872118622,0.984307017764635,0.984273401372856,0.983059489862758,0.982630200015285,0.983937528481152,0.984568386509612,0.977550797531868,0.979264046482683,0.980585268621209,0.976833475411583,0.976674042936587,0.983874545015789,0.985166521854428,0.983689396412687,0.98385878040016,0.983587032820002,0.983205528970017,0.976646236506824,0.974729774003547,0.978620887163074,0.979460125204585,0.974104119387282,0.982849096987949,0.983985738760013,0.979132838034974,0.977123823623365,0.980534387801464,0.982382916782767,0.986134781183276,0.982222270218901,0.976914947051191,0.980259487539547,0.974309008771236,0.971406018148066,0.980539998882713,0.980834884242645,0.979275623909703,0.982716613692121,0.97659818582986,0.976774856589087,0.971902541358355,0.963966505940773,0.977067997911772,0.973828389031266,0.978207151894157,0.975976040405971
76,0.982254227732827,0.982270868688709,0.984269428608878,0.98374028522042,0.983131072245255,0.982630526613509,0.983321437263065,0.984384735075467,0.977293852118359,0.97917892227278,0.980402902179553,0.976641245961668,0.976403444423814,0.983943797494769,0.984779439350557,0.983475615026144,0.98274876454279,0.982088234034069,0.981405720280201,0.975483479447768,0.97500027904039,0.978928769140107,0.979991306151885,0.97443780811001,0.982640694199846,0.984757450880523,0.978610251075643,0.976449518113374,0.980174854062547,0.982008512447091,0.98563202111097,0.982419742268121,0.978204135448495,0.979991796918146,0.974375515867543,0.970803617334912,0.981099340800536,0.980442818095984,0.978480404821107,0.984844765536496,0.977026722235842,0.976304309882197,0.971545516586504,0.963099138867429,0.977359044635865,0.972754773482378,0.9784101777579,0.976048858015089
77,0.981889516820245,0.982495732948472,0.984090634972362,0.983851105183227,0.982731975948319,0.982363042667445,0.983695469312222,0.984120511875365,0.977390623767603,0.978866698831457,0.980136951118803,0.976294627504735,0.975860421086595,0.983460555526912,0.984802047168463,0.983477752840009,0.982421726903791,0.982936169231124,0.98215418173939,0.975659684645295,0.974631945725659,0.978349051518477,0.978865057646141,0.973993216958846,0.982352870556011,0.983809788396537,0.978883547436,0.976460299608508,0.980238880618792,0.981977929914721,0.985574748565787,0.983132492945774,0.975889456280608,0.980274261529164,0.973919067164466,0.970010764382799,0.979035501801626,0.979852622265583,0.978378177268834,0.980024857829299,0.976250715044537,0.976083201775638,0.97133540620526,0.963090461983034,0.977630840511616,0.973576785750229,0.978364123967722,0.975491673273889
78,0.98203127608878,0.981663637561768,0.983869022384506,0.983205857589135,0.982373410315446,0.981911357322626,0.982858552185637,0.984064405220529,0.976884316925634,0.978583052803459,0.979630580299136,0.975918039417027,0.975819937844526,0.983515469386896,0.984290621666111,0.983081646470943,0.982222603180046,0.982529832620954,0.982481179464279,0.975224431508119,0.9736681073905,0.977759082187622,0.979155840520577,0.973221480001086,0.982075513226497,0.983301384451544,0.979183003920941,0.976240357107762,0.980438963607059,0.982166367740433,0.985574129403136,0.982752976351179,0.97454480766816,0.981999300697825,0.975062289146252,0.971192195508539,0.980079467053993,0.980865285093589,0.978249175833824,0.982333941376717,0.97586826836643,0.976288353627085,0.971318792826278,0.962834333210357,0.976604019838162,0.97307650103271,0.97793472102268,0.975160743246736
79,0.981606653060396,0.98228063124702,0.983938317175989,0.983469464837941,0.982614633138655,0.982212480885839,0.983140791216617,0.983620771205543,0.977010817796276,0.978494280413132,0.979602313500679,0.975822681500928,0.975876249121088,0.983455979371914,0.984218521057655,0.982994912308402,0.981268853291311,0.981361573672815,0.980878560311593,0.975102468582219,0.973875582127496,0.977444586204639,0.978669775375992,0.973033044016487,0.981890813562004,0.983885416184347,0.97845329032814,0.976079250766179,0.980115752626012,0.981900392383158,0.985406955487468,0.982045162474757,0.975424148563615,0.979439531115781,0.97505598847397,0.97088244917265,0.979309935476663,0.980639550039451,0.978210232004387,0.982047907046955,0.975365530767345,0.976035333010301,0.971171552683142,0.963766294867527,0.976213129731141,0.972827170297437,0.976774295239173,0.975085975165944
80,0.981442303977706,0.981312836299795,0.983809860321966,0.983403235156027,0.982259009247529,0.981736953870613,0.982905592024134,0.983865422316748,0.976933764508163,0.978337712669918,0.979275269681974,0.975430049065432,0.975403234397972,0.98306517573503,0.984073097796532,0.982520012228295,0.980993244958444,0.981063988953444,0.980844539336175,0.974308558970225,0.97392646596331,0.977913849926882,0.978248584779838,0.973469456522486,0.981524492560759,0.983772128845056,0.977999950757413,0.975211494429201,0.979740520068016,0.98116023331692,0.984619999758527,0.981900761038765,0.975108129979211,0.978800380184,0.974928224841591,0.969550679453702,0.978361637943074,0.980047607033709,0.977375025948065,0.98079161323362,0.974739887227262,0.975703508031532,0.971464078454239,0.963742835143053,0.975803967632472,0.973207010089454,0.976834943540324,0.97426320119863
81,0.981193816022006,0.981648668305692,0.98332283560824,0.98227733056349,0.981853702606906,0.981482860451764,0.982381947155315,0.983496162239569,0.976570339944546,0.978127334265443,0.978959471793838,0.975227527015049,0.974932045986528,0.983134428214009,0.983471241022558,0.982174907990018,0.978822994174642,0.978490523755697,0.978485861807459,0.974708965557144,0.973256112461813,0.977368194435901,0.978141228928121,0.973104688948131,0.981222508609313,0.983086231112346,0.978444365109165,0.974679812697706,0.979192908320128,0.980527267571209,0.984144482842848,0.982109032340676,0.973709416377157,0.979401540856765,0.974870818716357,0.970189356864753,0.978419946370213,0.979223988577666,0.977663975253978,0.982794206235337,0.975259622456484,0.97611120663155,0.971469941999762,0.962007779630275,0.97574784651527,0.972324613034154,0.976823916576478,0.974400059294339
82,0.980799640134439,0.980963987549484,0.983160058220699,0.982676348003536,0.98125358729063,0.980843707725942,0.982242460967551,0.983126249759427,0.97646264735683,0.978237691723282,0.979018740887377,0.97535164366775,0.974917131107871,0.982573696688176,0.983617580816839,0.982592087095758,0.981205555683763,0.981667397171792,0.982014134228933,0.975141260024958,0.973452425583211,0.977020297722864,0.978592716267704,0.972646030527284,0.980975011058892,0.982898242039789,0.97853731049298,0.975305139415513,0.979533049400182,0.980880356808568,0.984445086309726,0.98214852675052,0.973608262525637,0.980901452564589,0.973346756098876,0.970464221856511,0.978408424345689,0.978669435124235,0.977703266796178,0.980821239477393,0.976085641905696,0.975551760789034,0.971263089143808,0.961991711325841,0.975745888801879,0.972721659244099,0.977948342566253,0.9744124122816
83,0.979982478161543,0.98092461189763,0.983116912407134,0.98223175667346,0.981456894331329,0.981156262227021,0.981948461976947,0.983080581552002,0.976153827485575,0.978063187092981,0.97898500309567,0.975104923980064,0.974710149118348,0.982268924765266,0.983227748713493,0.982102833122555,0.981471933115528,0.981588634438758,0.981389535544323,0.973536017525842,0.973695026581059,0.977437972198687,0.978119164995406,0.973247651665614,0.980664715622544,0.983513142257412,0.977337637956186,0.975233673504907,0.979524430440687,0.98099619973421,0.984354069400084,0.980592200162606,0.973416419014134,0.978400075417699,0.973158786042471,0.968627370274537,0.978056129717047,0.978295539601127,0.976933430739269,0.979218953459993,0.977384326223748,0.975627960048142,0.971413912564764,0.962260694742065,0.975587640302793,0.972247346478171,0.978026179958104,0.974169253479723
84,0.980549187847073,0.980517187797453,0.982487375763754,0.981687492950801,0.981003866102375,0.980614435772173,0.982203261102137,0.983019255673459,0.975633869470516,0.977607468554965,0.978359790144857,0.974602402898396,0.974224350213526,0.98208801410432,0.982972646984423,0.981633430278102,0.981386876955385,0.981574134186651,0.981470128922982,0.974670502855445,0.973154344790185,0.977315282388291,0.97793968972183,0.973048747015203,0.980559744646557,0.982816749239864,0.976689790165024,0.97462960173465,0.979372983009568,0.980779032862939,0.984079161183207,0.980235516273702,0.974707351443361,0.978104947387009,0.973296000683273,0.968277859206338,0.978139926259043,0.978902857749876,0.977450131904837,0.981185924430506,0.977044046743483,0.974748412189797,0.971466032969413,0.962294116815288,0.974965413730097,0.970884792967834,0.977230292626431,0.97388871063745
