Cycles,DischargeAh_145,DischargeAh_146,DischargeAh_147,DischargeAh_148,DischargeAh_149,DischargeAh_150,DischargeAh_151,DischargeAh_152,DischargeAh_153,DischargeAh_154,DischargeAh_155,DischargeAh_156,DischargeAh_157,DischargeAh_158,DischargeAh_159,DischargeAh_160,DischargeAh_161,DischargeAh_162,DischargeAh_163,DischargeAh_164,DischargeAh_165,DischargeAh_166,DischargeAh_167,DischargeAh_168,DischargeAh_169,DischargeAh_170,DischargeAh_171,DischargeAh_172,DischargeAh_173,DischargeAh_174,DischargeAh_175,DischargeAh_176,DischargeAh_177,DischargeAh_178,DischargeAh_179,DischargeAh_185,DischargeAh_186,DischargeAh_187
93,0.946229785527006,0.946569525935169,0.946120297655741,0.945899279514963,0.946162155310516,0.946978176748245,0.946755699094567,0.946415154910622,0.956984426184507,0.954650133751685,0.95440012708205,0.956435062372148,0.955044879528923,0.956741252409302,0.95500827049516,0.956211522479195,0.947226416801149,0.946358733547659,0.948503584394523,0.947542772816012,0.946074066370713,0.943480588635344,0.946092489044398,0.947053341888423,0.954450162222779,0.952268300669214,0.954567510748759,0.953014134104546,0.952124247563068,0.955202635565692,0.953985262096762,0.954106643221633,0.938465904185352,0.938141885274966,0.939114425786577,NaN,NaN,NaN
94,0.946053437453325,0.94624238553849,0.945772525842062,0.945537486014286,0.945803117384481,0.946668758220856,0.946398627024087,0.94632995947043,0.956690140637203,0.954267098741989,0.953792278935617,0.955985933203427,0.954552058068482,0.956246930766951,0.954703451675162,0.955853440519003,0.946635488021034,0.945815412905176,0.948272917703285,0.94728359952654,0.945433999615588,0.943177644442652,0.945816345305418,0.94678069472843,0.954252318746246,0.952018937362015,0.954177186055561,0.952477129018739,0.951779029691408,0.95493632073579,0.953805546083768,0.953805164639978,0.937831067389196,0.937794922406342,0.938730624981104,NaN,NaN,NaN
95,0.945757479381843,0.945843059232685,0.945421368639046,0.945214083165208,0.945426850560539,0.946274896788581,0.946005909204746,0.945950592818271,0.956412384669287,0.953890866670689,0.953601418766771,0.95579184312788,0.954360716962212,0.956022185485643,0.954277766591916,0.955656480631883,0.946884950118386,0.945996828315613,0.94807327276413,0.947202742379291,0.945692440495922,0.943009855230236,0.945696148811888,0.946718939992305,0.953878515824964,0.951668047565457,0.953800504930667,0.951993883844731,0.951280051839079,0.954585593616053,0.953521094910883,0.953497151547194,0.937485398753689,0.937648264725368,0.938409836248172,NaN,NaN,NaN
96,0.945072022086753,0.945593633878598,0.945124993190751,0.944870410052085,0.945088118121324,0.946185831096932,0.945679258937173,0.945805204947509,0.956061721449432,0.953565804527326,0.953202805525935,0.955486506301714,0.954001361828985,0.95571190722326,0.953996826228805,0.955307284080132,0.946646602668936,0.945746919331848,0.947835848859567,0.946849184511091,0.945317623841929,0.942656112468647,0.945258818493124,0.946340692233539,0.953632172602316,0.951233146083259,0.953384969296039,0.951402524814952,0.950838659771016,0.95423189423259,0.953280382568975,0.953051913720691,0.936960706141665,0.937214323058936,0.937861822162746,NaN,NaN,NaN
97,0.945267998467765,0.94541915900037,0.944911098137205,0.944716540320473,0.944938288241308,0.945764541129858,0.945542514469562,0.94521531912792,0.955692167281705,0.953155261984115,0.952747289874512,0.955218153102749,0.95368600333902,0.955393370604084,0.953713232703817,0.954881969196066,0.946081608067258,0.945427591185926,0.947479866575751,0.946571257282523,0.944782171479083,0.942145663818765,0.944918878153733,0.945992086748113,0.953303320665239,0.950750153106102,0.953088369985099,0.950826313605624,0.95041774924478,0.953964390497197,0.952859061584869,0.952726079233918,0.9365585370313,0.937076871163132,0.937707792652092,NaN,NaN,NaN
98,0.944172186872527,0.94498327897888,0.944545783851508,0.944359967948413,0.944557406533998,0.945498268612264,0.945147031031775,0.945083204459796,0.955525395632531,0.952923666298716,0.9524441067181,0.955020216729973,0.953471630432921,0.955149159196049,0.953487713944341,0.954723808925807,0.9460315921517,0.945160096014415,0.947146920246454,0.946256129617389,0.944808789342208,0.941702946594079,0.944645816376125,0.945749081861461,0.952921533029658,0.950386498283104,0.952514450318429,0.950209708208426,0.949853467925757,0.953495367281143,0.952472255596636,0.952249059921467,0.936625194894896,0.936954656428987,0.937590042819567,NaN,NaN,NaN
99,0.944232605256031,0.944752284069676,0.944300804768598,0.944005545452842,0.944293127546454,0.945302262453479,0.944934385702367,0.944929173573362,0.955233471453712,0.952536194590067,0.952128772526094,0.954713104689701,0.95309603492802,0.954846844349146,0.953248044988192,0.954467909162692,0.945920754412901,0.9449697332453,0.946915332117035,0.945988347962431,0.944528063739259,0.941400618141616,0.944251941712714,0.945458834601673,0.952731969997584,0.950061435400506,0.952278653866231,0.949583301280347,0.949406139178904,0.953258775088507,0.952457675986311,0.951932136131688,0.935655164270369,0.936452147535088,0.936894045836509,NaN,NaN,NaN
100,0.944299157485577,0.944328691011441,0.943973960816273,0.943730361262174,0.943913476474709,0.944999624013343,0.944543204337719,0.944597652186529,0.954761788099057,0.952174751515281,0.951680073309272,0.954403625697289,0.952751443769042,0.954530372319168,0.95290107037394,0.954146849737673,0.945657707745891,0.944698227188863,0.946586685832581,0.945719336540974,0.944025109930227,0.941077970261594,0.943998296291753,0.945167043473481,0.952359941457258,0.949356687196589,0.951492369092928,0.948651264798455,0.948683645370118,0.952573668299529,0.952096161158847,0.951211854791282,0.935655799107166,0.936405801168373,0.936664911027272,NaN,NaN,NaN
101,0.944072818566661,0.928874762976799,0.943740676714707,0.943395594780223,0.943312618660189,0.944372465942389,0.943496264110416,0.943854044159637,0.955647301280511,0.952934314376206,0.953181763488687,0.954882045898752,0.953365920377296,0.955127923421437,0.953409593066875,0.954452803968342,0.944867024043762,0.944751294281712,0.946096787866502,0.945765760226277,0.944033157191172,0.942571448187153,0.944314197332439,0.944650156332114,0.952284530266651,0.949997313407226,0.953393274076746,0.95184864297805,0.951149148071752,0.953247777712718,0.951507620970597,0.95266043709939,0.936851196794328,0.934815739861018,0.935781787283336,0.862275335769558,0.901661728248708,0.897957411208904
102,0.943838812340194,0.927774772591348,0.943415987101051,0.94312317471647,0.942981270034362,0.944133005588025,0.943228613703025,0.943612039720831,0.955007960763501,0.952332106438183,0.952118992424274,0.954128467510919,0.952638056446807,0.954317129749108,0.952642239693129,0.953522501704518,0.944456708292052,0.944382909927866,0.945552525047761,0.945295374540759,0.943614390112021,0.94213919854636,0.943914158746283,0.944298463109882,0.951792731011832,0.949579926728748,0.952314838982166,0.950647212904993,0.950099543261617,0.952473503011943,0.950981564826601,0.951987976499522,0.935923065398347,0.934128797822864,0.934971859381241,0.808791840121276,0.874422620622564,0.860615572433997
